epoch,value,date_time
1576180800.0,12.0,2019-12-12 12:00:00-08:00
1576249200.0,3.0,2019-12-13 07:00:00-08:00
1576263600.0,3.0,2019-12-13 11:00:00-08:00
1576283400.0,3.0,2019-12-13 16:30:00-08:00
1576300200.0,3.0,2019-12-13 21:10:00-08:00
1576337400.0,3.0,2019-12-14 07:30:00-08:00
1576349100.0,3.0,2019-12-14 10:45:00-08:00
1576368900.0,3.0,2019-12-14 16:15:00-08:00
1576386900.0,3.0,2019-12-14 21:15:00-08:00
1576416600.0,2.5,2019-12-15 05:30:00-08:00
1576434600.0,2.5,2019-12-15 10:30:00-08:00
1576454100.0,2.5,2019-12-15 15:55:00-08:00
1576472400.0,2.5,2019-12-15 21:00:00-08:00
1576502100.0,2.5,2019-12-16 05:15:00-08:00
1576520100.0,2.5,2019-12-16 10:15:00-08:00
1576540800.0,2.5,2019-12-16 16:00:00-08:00
1576558800.0,2.5,2019-12-16 21:00:00-08:00
1576589400.0,2.5,2019-12-17 05:30:00-08:00
1576606500.0,2.5,2019-12-17 10:15:00-08:00
1576621800.0,1.0,2019-12-17 14:30:00-08:00
1576627200.0,1.5,2019-12-17 16:00:00-08:00
1576639200.0,1.0,2019-12-17 19:20:00-08:00
1576648800.0,1.5,2019-12-17 22:00:00-08:00
1576666800.0,0.8,2019-12-18 03:00:00-08:00
1576674900.0,0.5,2019-12-18 05:15:00-08:00
1576675800.0,1.7,2019-12-18 05:30:00-08:00
1576686600.0,2.5,2019-12-18 08:30:00-08:00
1576704600.0,2.5,2019-12-18 13:30:00-08:00
1576712700.0,1.0,2019-12-18 15:45:00-08:00
1576734300.0,1.0,2019-12-18 21:45:00-08:00
1576756800.0,2.5,2019-12-19 04:00:00-08:00
1576778400.0,2.5,2019-12-19 10:00:00-08:00
1576785600.0,2.0,2019-12-19 12:00:00-08:00
1576800000.0,0.47,2019-12-19 16:00:00-08:00
1576818000.0,2.5,2019-12-19 21:00:00-08:00
1576840200.0,1.0,2019-12-20 03:10:00-08:00
1576850400.0,1.5,2019-12-20 06:00:00-08:00
1576862100.0,2.5,2019-12-20 09:15:00-08:00
1576882800.0,2.5,2019-12-20 15:00:00-08:00
1576904400.0,2.5,2019-12-20 21:00:00-08:00
1576926000.0,2.45,2019-12-21 03:00:00-08:00
1576948200.0,2.55,2019-12-21 09:10:00-08:00
1576969200.0,2.5,2019-12-21 15:00:00-08:00
1576990800.0,2.5,2019-12-21 21:00:00-08:00
1577018700.0,2.4,2019-12-22 04:45:00-08:00
1577027700.0,0.2,2019-12-22 07:15:00-08:00
1577044800.0,7.6,2019-12-22 12:00:00-08:00
1577131200.0,10.0,2019-12-23 12:00:00-08:00
1577217600.0,10.0,2019-12-24 12:00:00-08:00
1577304000.0,11.0,2019-12-25 12:00:00-08:00
1577390400.0,9.0,2019-12-26 12:00:00-08:00
1577476800.0,11.0,2019-12-27 12:00:00-08:00
1577563200.0,10.0,2019-12-28 12:00:00-08:00
1577649600.0,15.0,2019-12-29 12:00:00-08:00
1577719800.0,2.0,2019-12-30 07:30:00-08:00
1577730600.0,2.0,2019-12-30 10:30:00-08:00
1577743200.0,2.0,2019-12-30 14:00:00-08:00
1577752200.0,2.0,2019-12-30 16:30:00-08:00
1577769300.0,2.0,2019-12-30 21:15:00-08:00
1577798100.0,2.0,2019-12-31 05:15:00-08:00
1577801700.0,0.5,2019-12-31 06:15:00-08:00
1577812200.0,2.5,2019-12-31 09:10:00-08:00
1577826900.0,2.5,2019-12-31 13:15:00-08:00
1577830800.0,2.5,2019-12-31 14:20:00-08:00
1577836800.0,2.0,2019-12-31 16:00:00-08:00
1577848500.0,2.5,2019-12-31 19:15:00-08:00
